Tweet ID,Tweet Text,Information Source,Information Type,Informativeness,source_dataset,detected_language
325159881831235584,@YourAnonNews please please please don't forget west texas WATCH http://t.co/1cYrtIxAuh,Media,Sympathy and support,Related - but not informative,2013_West_Texas_explosion,tl
323981240443224065,"RT @llama_ajol: #prayforboston stay strong, stay strong.",Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,tl
324226208780918784,#PrayforBoston http://t.co/AhMAyXgf2Q,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,tl
324788077744766976,what happened in  #WestTX ????,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion,tl
324798345413541888,RT @francoiseboi: Fucking hell! Now the world is going wild. :( #WestTX,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion,tl
323935170229059584,RT @BornToRaceMovie: #prayforboston http://t.co/ARrac8wzgu,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,es
324736982737633281,RT @victoriaxo2: #prayfortexas 💜,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion,tl
220191153755136001,"“It’s ugly,” he said.  #HighParkFire #WaldoCanyonFire #COfire http://t.co/GwYF5WV8",Outsiders,Other Useful Information,Related - but not informative,2012_Colorado_wildfires,tl
324719039484133377,RT @ovo_xo: Crazy.. #Waco #Texas http://t.co/7hkDeCckq7,Outsiders,Other Useful Information,Related - but not informative,2013_West_Texas_explosion,es
323890354074046466,RT @katyyperryyoxo: #prayforboston ♥,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,tl
324787683480199170,The most eerie experience of my life. #westtx,Eyewitness,Affected individuals,Related - but not informative,2013_West_Texas_explosion,tl
324754045166288896,http://t.co/rh2AYD4wz9 @Gera_Cien #WestTX,Not applicable,Not applicable,Related - but not informative,2013_West_Texas_explosion,tl
396365125403160576,Watch live coverage of #LAXShooting http://t.co/CBJRoBlhTX,Media,Other Useful Information,Related - but not informative,2013_LA_airport_shootings,tl
324747875353522176,RT @librab103: What is MSM waiting for? For the explosion to be called terrorism? #WestTX #WestExplosion,Outsiders,Other Useful Information,Related - but not informative,2013_West_Texas_explosion,tl
324749255279521795,"RT @Linny_ovo: @fuccyoudis2o9: This explosion was serious, please #PrayForWest #WestTX 😔🙏 http://t.co/QGpbuboG1d",Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion,tl
324721283440971776,RT @reyna6467: @MariaESalinas //WACO Texas explotion!!! http://t.co/V687GKwB6Q,Outsiders,Other Useful Information,Related - but not informative,2013_West_Texas_explosion,es
324738656248147968,RT @kristahakk: #PrayForTexas 💕,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion,tl
333981371368353794,The BOSTON MARATHON ZUP is emerging on #Tweetzup http://t.co/9OeAzRhNHt,Outsiders,Other Useful Information,Related - but not informative,2013_Boston_bombings,tl
214570425664024576,RT @brianlphoto: Sunset in my hometown Fort Collins. High Park Fire smoke. #HighParkFire http://t.co/snllB0fB,Eyewitness,Other Useful Information,Related - but not informative,2012_Colorado_wildfires,tl
