Worker ID,Batch ID,Batch Status,Tweet ID,Tweet Text,I-Involvement-1,I-Involvement-2,I-Involvement-3,You-Involvement-1,You-Involvement-2,You-Involvement-3,We-Involvement-1,We-Involvement-2,We-Involvement-3,I-Involvement Comment,You-Involvement Comment,We-Involvement Comment,Timestamp,Progress,Completion Status,study_phase,PID
ANONYMOUS039,25,completed,217772252467441660,Holy shit now there's a fire in Boulder?,5,5,5,1,1,1,1,1,1,Doesnt show how hes affected but shows the speaker has a strong reaction to the information,Seems just like a personal expression of opinion,Doesn't mention anything about a collective or community,2025-11-19T08:14:39.740Z,25/25,completed,Pilot_2,
ANONYMOUS023,4,completed,218029963088117760,Praying for my cousins and everyone else in Colorado Springs that are having to evacuate because of these wildfires. &lt;3,3,6,2,7,6,7,6,6,2,"The tweet does not describe the speaker’s own situation, but the event appears to have emotional impact on them. It suggests personal concern even without detailing any direct personal experience.","The tweet expresses strong concern for close others, mentions the hardships they face, and uses caring language, showing high relational involvement.","The tweet expresses concern for a broader community in Colorado Springs and acknowledges the collective consequences of the wildfire evacuation. However, it does not emphasize shared responsibility or collective solidarity.",2025-11-27T05:18:24.356Z,25/25,completed,Pilot_2,
ANONYMOUS033,4,completed,218029963088117760,Praying for my cousins and everyone else in Colorado Springs that are having to evacuate because of these wildfires. &lt;3,3,3,3,5,5,5,5,4,4,supportive message... good staff!,fair play! good text!,thank you for your participation,2025-11-17T10:45:02.854Z,25/25,completed,Pilot_2,
ANONYMOUS016,23,completed,218130462814646270,"shout out to colorado, hope that fire goes out soon.",2,1,1,1,2,1,2,3,1,The tone itself is a bit unserious considering the impact of the wildfire.,Same as the question above.,"It kind of shows concern for the society as a whole, more like 'us'",2025-11-20T04:29:46.887Z,25/25,completed,Pilot_2,
ANONYMOUS030,23,completed,218130462814646270,"shout out to colorado, hope that fire goes out soon.",4,1,1,1,1,1,7,6,6,the tweet is no descriptive enough to know if there is an I involvement,seems like there is no you-involvement,"""shout out to colorado"" shows the we-involvement",2025-11-22T11:51:03.726Z,25/25,completed,Pilot_2,
ANONYMOUS038,25,completed,218165464273125380,🙏pray for the victims of the Colorado fires🔥 It's getting bad out there 😔,1,1,1,3,2,5,5,5,5,"The tweet is implying there is no correlation between the issue and the speaker, can be further implied by ""pray for the victims"".","The user is calling out for people to pray for the victims of the issue, including the fact that it is ""getting bad"". This is stating the issue is increasingly getting worse, and expressing concerns for the victims of the issue. It is not clear if these victims are closely related (high chance they are not) to the user.","Tweeting concern for the victims of the issue, and calling for others to pray for them. Thus implying and creating a shared community and collective.",2025-12-06T08:53:53.868Z,25/25,completed,Pilot_2,
ANONYMOUS039,25,completed,218165464273125380,🙏pray for the victims of the Colorado fires🔥 It's getting bad out there 😔,2,2,2,2,2,3,5,4,5,"The tweet doesn’t really talk about the speaker being personally affected, but it does show an emotional reaction to what’s happening. It’s more about sympathy than their own situation.","The tweet doesn’t mention friends, family, or anyone close to the speaker. It’s focused on the victims in general, not specific people the speaker knows.",The tweet clearly shows concern for the wider community by asking people to pray for the victims. It highlights that the situation is affecting a lot of people and shows a sense of shared care.,2025-11-19T08:17:35.051Z,25/25,completed,Pilot_2,
ANONYMOUS027,32,unknown,218422415728975870,Denver Post Should Receive Pulitizer Prize for its Coverage of Colorado Fires:  http://t.co/H0fhdWsm,5,4,4,4,4,5,4,4,4,"The tweet emphasizes the speaker's strong personal opinion regarding the quality of news coverage, but not their direct experience or emotional impact from the fires themselves.","The tweet focuses on news coverage quality rather than the human impact, showing no explicit concern or support for family, friends, or close victims of the fires.",Praising the Denver Post highlights the collective consequence of the fires by emphasizing the crucial role of local media in informing the community/nation about the issue.,2025-12-02T10:45:16.166Z,0/25,partial,Pilot_2,
ANONYMOUS064,17,completed,218422415728975870,Denver Post Should Receive Pulitizer Prize for its Coverage of Colorado Fires:  http://t.co/H0fhdWsm,2,2,1,1,1,1,5,5,4,The tweet focuses on praising news coverage and does not talk about the speaker’s own experience or personal impact.,"There is no mention of family, friends, or people close to the speaker in this message.","By referring to coverage of the Colorado fires, the tweet highlights a major event that affected the broader community and public awareness.",2025-12-21T15:09:17.370Z,50/50,completed,Main,PID020
ANONYMOUS027,32,unknown,219560493982031870,These fires out in Colorado are crazy.,4,4,5,4,5,4,5,4,5,"While the tweet does not directly suggest a personal experience, the use of the word ""crazy"" conveys a strong emotion, indicating the speaker's personal concern for the issue. Although the wildfires may be impacting the speaker's personal life, this cannot be definitively concluded from the text alone.","Given the word ""crazy"" and the context of a large-scale disaster, it is highly probable that the speaker is feeling the impact of the disaster through acquaintances or friends. This expression is considered an indirect indicator of concern for people in the speaker's close relationships.","The very mention of ""Colorado"" at the state level strongly suggests a collective dimension. The severity of the wildfires is recognized as a major impact on the entire community (evacuations, fatalities, water resources), and the expression ""crazy"" strongly reflects this societal concern. This statement can be rated as strongly indicating an interest in collective well-being.",2025-12-02T10:17:21.198Z,0/25,partial,Pilot_2,
ANONYMOUS029,32,unknown,219560493982031870,These fires out in Colorado are crazy.,5,5,3,3,3,3,2,2,2,I think this tweet are making comments on this issue which he/she think it is crazy.,"I don't think this tweet is related with others, just 'my' own opinion.",I think this tweet is just 'my' thoughts,2025-12-10T05:27:25.230Z,0/25,partial,Pilot_2,
ANONYMOUS043,32,unknown,219560493982031870,These fires out in Colorado are crazy.,3,3,1,2,2,2,5,4,5,"Tweet is just a statement, not relating to their feelings or personal involvement.",The tweet does not express concern for anyone besides saying it's crazy.,The tweet is broad statement,2025-12-16T10:28:05.827Z,0/25,partial,Pilot_2,
ANONYMOUS086,6,completed,219560493982031870,These fires out in Colorado are crazy.,4,3,4,4,5,4,5,4,4,"The 2012 Colorado Wildfires, especially the infamous Waldo Canyon Fire near Colorado Springs and the High Park Fire, were devastating events marked by extreme heat, strong winds, rapid spread, massive","The cause of the Waldo Canyon Fire was determined to be human activity, but investigators did not identify what exactly sparked it. On top of the destruction,","A large debris fire that sent a thick smoke plume across Colorado Springs is believed to have been intentionally set,",2025-12-20T15:30:44.612Z,50/50,completed,Main,PID007
ANONYMOUS005,15,completed,220588966703931400,RT @Taylormaatman: Would rather watch #Wildfire on the Hudson this #July4th than fireworks !! @GameOfThrones,6,6,6,5,2,1,1,2,1,It’s a tweet that only makes sense to people who know the context.,It’s a tweet related to fandom.,Someone living in the United States would likely understand the context.,2025-12-10T05:46:59.935Z,25/25,completed,Pilot_2,
ANONYMOUS017,15,completed,220588966703931400,RT @Taylormaatman: Would rather watch #Wildfire on the Hudson this #July4th than fireworks !! @GameOfThrones,4,5,5,4,4,5,4,3,5,The post uses humor and exaggeration to criticize the situation while referencing pop culture.,It reflects environmental concerns by contrasting wildfires with traditional fireworks.,"The tone is sarcastic, expressing frustration about current conditions.",2025-11-18T03:37:06.361Z,25/25,completed,Pilot_2,
ANONYMOUS056,22,completed,275784077943123970,And the light just went off! #brownout #PabloPH,6,6,6,5,5,5,5,5,5,The tweet doesn’t directly express deep concern for the self,The tweet shows a minor inconvenience,The tweet emphasizes a personal experience,2025-12-26T02:51:58.788Z,50/50,completed,Main,PID032
ANONYMOUS056,22,completed,275784077943123970,And the light just went off! #brownout #PabloPH,6,6,6,5,5,5,5,5,5,The tweet doesn’t directly express deep concern for the self,The tweet shows a minor inconvenience,The tweet emphasizes a personal experience,2025-12-26T02:51:56.708Z,50/50,completed,Main,PID032
ANONYMOUS059,22,completed,275784077943123970,And the light just went off! #brownout #PabloPH,6,6,7,1,1,1,4,4,2,The tweet directly reports a personal experience of losing electricity during the typhoon.,"There is no reference to family, friends, or other people being affected in the tweet.","Although brownouts affect many people, the tweet focuses on an individual moment rather than the community.",2025-12-22T12:09:30.342Z,50/50,completed,Main,PID032
ANONYMOUS056,22,completed,294767623667855360,Left it too late to build an Ark. #Bigwet,6,6,6,6,6,7,5,5,6,This tweet is very humorous without showing personal concern,This tweet personal frustration but more lighthearted comment,This tweet very humorously touches on the speaker's personal situation,2025-12-26T02:50:28.405Z,50/50,completed,Main,PID032
ANONYMOUS059,22,completed,294767623667855360,Left it too late to build an Ark. #Bigwet,5,5,6,2,2,1,4,4,2,The tweet humorously suggests the speaker is personally affected by heavy flooding and reacting to their own situation.,"The tweet does not mention family, friends, or anyone else being affected by the flooding.","While the flooding is a widespread event, the tweet focuses on a personal reaction rather than community impact.",2025-12-22T12:08:17.104Z,50/50,completed,Main,PID032
ANONYMOUS053,32,completed,295731483128246300,"Moral of the story - if you’ve elderly neighbours, check on them and ensure they have the latest information. Thanks Mum #bigwet #qldflood",1,1,1,4,4,4,5,5,5,The moral of the story emphasizes the importance of showing love and respect to our elderly neighbors,It highlights that caring for our elders is not only a duty but also a privilege that allows us to repay their love and kindness,"By taking care of our elderly, we create a sense of belonging and respect within our families, fostering strong and healthy relationships that last a lifetime.",2025-12-26T08:52:34.316Z,50/50,completed,Main,PID060
ANONYMOUS065,32,completed,295731483128246300,"Moral of the story - if you’ve elderly neighbours, check on them and ensure they have the latest information. Thanks Mum #bigwet #qldflood",3,3,4,6,7,7,7,7,7,"The speaker mentions their mum, which suggests some personal experience, but the tweet is not mainly about how the flood affected the speaker personally.","The tweet clearly focuses on caring for elderly neighbours and mentions the speaker’s mum, which highlights concern for close relationships and people they care about.","The message encourages everyone to check on elderly neighbours, which reflects a shared responsibility and community-level response during the floods.",2025-12-27T07:36:06.344Z,50/50,completed,Main,PID060
ANONYMOUS016,23,completed,323884582703345660,RT @Pink: Our thoughts and prayers are with everyone affected by the explosions in Boston. 😢,3,2,2,2,2,2,3,2,2,Has nothing that indicates any personal consequences for the speaker,"As the previous one, not really",Shows somewhat concern/empathy,2025-11-20T04:24:54.535Z,25/25,completed,Pilot_2,
ANONYMOUS030,23,completed,323884582703345660,RT @Pink: Our thoughts and prayers are with everyone affected by the explosions in Boston. 😢,1,1,1,4,6,6,6,5,6,seems there is no direct involvement,from the tweet seems like they care about Pink (the singer?),sending prayers to everyone who was involved shows a we-involvement,2025-11-22T11:49:28.491Z,25/25,completed,Pilot_2,
ANONYMOUS027,32,unknown,323885576761794560,Boston you're my home! My thoughts to those involved with this tragedy! I hope everyone is okay!!!,5,4,4,4,4,4,4,5,4,"The phrase ""Boston you're my home!"" clearly establishes a strong personal connection to the location and thus a direct, individual stake in the tragedy's outcome.","The speaker expresses direct care and support (""My thoughts to those involved"") and hope for safety (""I hope everyone is okay!!!"") for others impacted by the event.","Declaring Boston as ""home"" and expressing universal hope for safety strongly emphasizes a sense of shared identity, collective well-being, and solidarity with the community/nation.",2025-12-03T12:07:05.418Z,0/25,partial,Pilot_2,
ANONYMOUS055,3,completed,323885576761794560,Boston you're my home! My thoughts to those involved with this tragedy! I hope everyone is okay!!!,4,4,4,4,4,4,6,6,6,"The speaker identifies Boston as their home, which shows a personal connection. While they are not directly affected, the tragedy has emotional significance, indicating moderate personal involvement.","The tweet expresses concern for those “involved with this tragedy,” showing empathy for people the speaker may not personally know but still cares about. It conveys relational concern without specifying close ties.","The tweet highlights solidarity with Boston and its residents, showing awareness of the tragedy’s broader impact on the community. It emphasizes collective well-being and shared concern over the event.",2025-12-20T11:41:03.453Z,50/50,completed,Main,PID003
ANONYMOUS038,25,completed,323888353391042560,RT @DapDMoney: Ok so about these explosions in Boston?!,1,1,1,1,1,1,2,2,3,The tweet is asking prompting the added user to provide information/talk about the issue discussed in the tweet.,The tweet itself is not expressing any concern directly through the message,"If assumed the speaker is prompting the added user to provide more information or discuss the topic because they have a large following, collective consequences, shared responsibility, and concerned can be inferred.",2025-12-06T08:50:11.342Z,25/25,completed,Pilot_2,
ANONYMOUS039,25,completed,323888353391042560,RT @DapDMoney: Ok so about these explosions in Boston?!,5,5,5,1,1,1,2,2,2,"The tweet doesn’t say the speaker is personally affected, but you can tell they’re reacting strongly to the news. It’s more about shock than anything happening to them directly.","there’s no mention of friends or family or anyone close to them. It’s just the speaker reacting to what’s going on, not worrying about specific people they know","The tweet doesn’t really talk about the community, but it does show they’re reacting to something big happening in Boston. It’s more about noticing the situation than expressing any collective feeling.",2025-11-19T08:16:52.092Z,25/25,completed,Pilot_2,
ANONYMOUS027,32,unknown,323888735093657600,@backrubprincess I believe it was a controlled explosion - at least according to the Boston feed I follow. Still super scary!,4,5,4,4,4,4,5,4,4,"The speaker expresses high personal emotion (""super scary"") and is actively seeking information from a specific ""Boston feed,"" showing direct individual engagement and immediate reaction to the event.","The tweet directly addresses another user, suggesting a personal connection or shared concern about the event and the well-being of someone they care about, even indirectly.","By referencing ""the Boston feed,"" the speaker shows awareness of the community-level information flow and the collective fear/impact on the city/nation, emphasizing a shared experience.",2025-12-02T10:32:05.847Z,0/25,partial,Pilot_2,
ANONYMOUS043,32,unknown,323888735093657600,@backrubprincess I believe it was a controlled explosion - at least according to the Boston feed I follow. Still super scary!,5,3,3,3,3,3,6,6,6,Expresses their own feelings,Doesn't say anything about people they relate to,It was a crazy event,2025-12-16T10:31:42.316Z,0/25,partial,Pilot_2,
ANONYMOUS058,16,completed,323888735093657600,@backrubprincess I believe it was a controlled explosion - at least according to the Boston feed I follow. Still super scary!,2,2,2,1,1,1,3,3,2,"The tweet shows that the speaker finds the situation scary, but it does not clearly describe any direct personal impact or consequences for themselves.","The tweet does not mention family, friends, or specific people the speaker cares about, so there is no clear relational concern expressed.","The tweet references Boston and acknowledges the frightening nature of the situation, which implies awareness of a broader community impact, but it does not strongly emphasize collective concern or solidarity.",2025-12-21T11:30:57.588Z,50/50,completed,Main,PID018
ANONYMOUS027,32,unknown,323890354074046460,RT @katyyperryyoxo: #prayforboston ♥,5,5,5,5,5,5,5,5,5,The simple act of retweeting and adding the heart emoji conveys the speaker's personal emotional support and simple recognition of the gravity of the issue.,"The use of the #prayforboston hashtag is an expression of care and support intended for the victims, their families, and friends affected by the tragedy.","The hashtag #prayforboston is a direct and widely used expression of collective solidarity, shared public grief, and concern for the community's well-being.",2025-12-03T12:09:48.722Z,0/25,partial,Pilot_2,
ANONYMOUS057,8,completed,323890354074046460,RT @katyyperryyoxo: #prayforboston ♥,1,1,1,2,2,3,6,6,6,The tweet does not talk about the speaker’s own feelings or personal experience in detail.,"It shows general care, but does not mention family, friends, or close relationships.",The hashtag shows support and concern for the Boston community as a whole,2025-12-20T14:57:03.050Z,50/50,completed,Main,PID009
ANONYMOUS023,4,completed,323892820320583700,RT @DinoSamona: Crazy what happened during the Boston Marathon. Prayers to all those involved 🙏.,2,1,6,2,1,6,6,2,2,"The tweet does not clearly express concern about the issue’s impact on the speaker, nor does it suggest personal consequences. However, it emphasizes a personal viewpoint or experience, showing some level of individual involvement.","The tweet does not indicate that family, friends, or a specific close person is affected, nor does it mention consequences for someone the speaker cares about. However, it still conveys relational involvement through expressions of care or supportive sentiment.","The tweet expresses some concern for the community, but it does not highlight collective consequences or shared responsibility, so the collective involvement is relatively limited.",2025-11-27T03:52:54.691Z,25/25,completed,Pilot_2,
ANONYMOUS033,4,completed,323892820320583700,RT @DinoSamona: Crazy what happened during the Boston Marathon. Prayers to all those involved 🙏.,5,4,5,5,3,5,5,6,4,"dizzy situation, pray for boston's victims",pray for boston's victims!,"we should... no, must to guard all of us",2025-11-17T10:35:25.179Z,25/25,completed,Pilot_2,
ANONYMOUS023,4,completed,323893747274367000,RT @ashleycolley: The fake Boston Marathon account has been suspended. THANK YOU TWITTER!,1,1,1,1,1,1,4,5,1,The tweet does not reflect any personal concern or individual impact on the speaker. It focuses solely on the suspension of a fake account rather than the speaker’s own experience or feelings.,"The tweet does not express any concern for family, friends, or close others. It focuses only on the suspension of a fake account and does not mention any relational ties or consequences for someone the speaker cares about.","The tweet shows some awareness of how the issue affects Texans as a group, which suggests a collective perspective. However, it does not highlight shared responsibility or solidarity, so the collective involvement appears limited.",2025-11-27T07:12:38.287Z,25/25,completed,Pilot_2,
ANONYMOUS033,4,completed,323893747274367000,RT @ashleycolley: The fake Boston Marathon account has been suspended. THANK YOU TWITTER!,3,3,3,3,3,3,1,1,1,"bro.... guy just kidding us, bad comment",be honest... cancel the comma,shame on that guys!!,2025-11-17T10:56:53.485Z,25/25,completed,Pilot_2,
ANONYMOUS016,23,completed,323894607110881300,RT @BDOG247: Hope it's not terrorism #BostonMarathon,6,2,2,2,1,1,5,5,4,It shows concern for the issue itself.,It does not express concern on a you-involvement level.,It expresses concerns about terror which would affect a lot of people if it is true.,2025-11-19T05:50:46.121Z,25/25,completed,Pilot_2,
ANONYMOUS030,23,completed,323894607110881300,RT @BDOG247: Hope it's not terrorism #BostonMarathon,1,1,1,6,5,3,1,1,1,There is no direct involvement on the matter,"seems like the writer knows, since he reposted a tweet, someone directly involved","other than a mere general ""hope"", there is not an openly we-involvement expression",2025-11-22T11:43:17.421Z,25/25,completed,Pilot_2,
ANONYMOUS027,32,unknown,323905612952006660,"RT @CdnPress: 2,032 Canadians were entered in 2013 Boston Marathon: http://t.co/B41yuLAZCF",4,5,4,4,4,5,5,4,4,"The tweet is purely informational, focusing on a statistic rather than the speaker's personal experience, emotional reaction, or individual consequences.","The factual tweet does not express any explicit support, loyalty, or care for specific individuals, family, or friends impacted by the issue.","The statistic explicitly highlights the collective consequence of the event for a specific group (Canadians), emphasizing the international scope and collective concern for that nation.",2025-12-03T12:13:35.823Z,0/25,partial,Pilot_2,
ANONYMOUS058,16,completed,323905612952006660,"RT @CdnPress: 2,032 Canadians were entered in 2013 Boston Marathon: http://t.co/B41yuLAZCF",1,1,1,1,1,1,2,2,1,The tweet is purely informational and does not reflect any personal concern or impact on the speaker.,"There is no reference to family, friends, or anyone the speaker cares about; the tweet is strictly factual.","While the tweet mentions Canadians at the Boston Marathon, it is largely statistical and does not indicate concern for the broader community or collective well-being.",2025-12-21T11:42:11.684Z,50/50,completed,Main,PID018
ANONYMOUS016,23,completed,323908049838415900,"Between Sandy and bombs, it's not a good year for marathoners. After all that training. Real shame. #bostonmarathon",6,6,5,6,5,5,6,6,6,This incident created a deep sense of I-involvement because it felt close and emotionally impactful.,The details make you realize how easily you could have been involved in such a moment.,"We are drawn into the event as a shared community, feeling the impact together.",2025-11-19T04:50:35.485Z,25/25,completed,Pilot_2,
ANONYMOUS030,23,completed,323908049838415900,"Between Sandy and bombs, it's not a good year for marathoners. After all that training. Real shame. #bostonmarathon",1,1,1,2,2,2,6,3,3,"The comment refers to ""marathoners"", so the involvement seems low, and even the concern appears to be not genuine","The tweet, due to the nature of these posts, is short and uses expressions like ""what a shame."" it doesn't seem like a real caring for someone the writer knows or is related to","The concern is directed to the marathoners, not the founders or the city.",2025-11-22T11:05:44.557Z,25/25,completed,Pilot_2,
ANONYMOUS038,25,completed,323909148746059800,"RT @CarsonRapsilver: God is good, even when the world is not. #John16 #PrayForBoston http://t.co/knPQNq7jXQ",1,1,1,1,1,2,1,2,2,Speaker is not providing any evidence that the event in which they are tweeting about has any correlation between self and it.,"The tweet itself is not expressing any concern about the issue's impact on anybody in particular, however it is relaying assumed care and support from the speaker in the form of the bible verse.","The speaker is emphasizing the fact that even through these hards times ""god is good"".",2025-12-06T08:29:11.190Z,25/25,completed,Pilot_2,
ANONYMOUS039,25,completed,323909148746059800,"RT @CarsonRapsilver: God is good, even when the world is not. #John16 #PrayForBoston http://t.co/knPQNq7jXQ",3,2,2,2,3,3,3,3,3,"Genereal statement, doesnt talk about the individual and how they're affected",No mention of real specific people,Solidarity with the hastag but then again not very specific. Also adds more specificity with the religious community with the comment about god,2025-11-19T08:09:40.112Z,25/25,completed,Pilot_2,
ANONYMOUS023,4,completed,323913829601914900,RT @we_believejb: Help this girl find her family. Please RT and spread the word. #prayforboston http://t.co/ljlyC3pkFF,1,1,1,7,5,6,5,5,7,The tweet shows no individual involvement. It does not mention the speaker’s own experience or any personal impact.,"The tweet shows strong relational involvement by expressing concern for the girl and her family, and by calling for support to help reunite them.","The tweet encourages collective action by asking people to retweet and help, showing a sense of shared responsibility even though the main focus is on the individual girl.",2025-11-27T11:04:32.697Z,25/25,completed,Pilot_2,
ANONYMOUS033,4,completed,323913829601914900,RT @we_believejb: Help this girl find her family. Please RT and spread the word. #prayforboston http://t.co/ljlyC3pkFF,3,3,3,5,5,5,5,5,5,good support as well,"really good message, let her find her family",let find her family and return at home,2025-11-17T11:03:13.188Z,25/25,completed,Pilot_2,
ANONYMOUS027,32,unknown,323915398288379900,RT @JMaxey97: What a damn shame #prayforboston,4,5,5,4,4,5,4,5,4,"The phrase ""What a damn shame"" clearly conveys a strong, simple personal emotional reaction (disgust/sadness) to the tragedy, reflecting individual concern.","The tweet is an RT, sharing another's emotional response, and the prayer hashtag implies concern for the well-being of the victims and their families/friends.","The hashtag ""#prayforboston"" is a direct and powerful expression of collective solidarity, shared responsibility, and concern for the entire community/nation.",2025-12-02T10:37:07.042Z,0/25,partial,Pilot_2,
ANONYMOUS043,32,unknown,323915398288379900,RT @JMaxey97: What a damn shame #prayforboston,5,3,3,3,3,5,6,4,7,just stating how they feel,#prayforboston emphasizing support,stating pray for a state,2025-12-16T10:45:49.217Z,0/25,partial,Pilot_2,
ANONYMOUS079,33,completed,323915398288379900,RT @JMaxey97: What a damn shame #prayforboston,1,2,2,2,1,2,6,6,6,"This tweet does not express any personal concern or impact on the speaker. It is a brief expression of sadness or frustration, but there is no indication of how the event affects the speaker personally. It’s more of a general reaction to the tragedy.","There is no direct mention of the impact on the speaker's family or friends. It’s more of a generalized expression of concern, without any specific focus on how it affects people close to the speaker.","This tweet is more focused on the collective impact, using the hashtag #prayforboston to express concern for the affected community. The speaker shows empathy for the larger society, without diving deeply into shared responsibility or solidarity. The focus seems to be on a collective recognition of the tragedy rather than individual or relational concerns.",2025-12-26T09:45:03.535Z,50/50,completed,Main,PID053
ANONYMOUS027,32,unknown,323919135400665100,My prayers go out to the Boston Marathon victims today. #rip,5,4,4,4,5,5,4,5,4,"personal expression of sadness and care, indicating a strong emotional impact and concern for the victims.","The tweet directly addresses the ""victims,"" showing explicit care, support, and concern for individuals affected by the tragedy and their close relations.","The reference to ""Boston Marathon victims"" and the public act of prayer emphasize a shared grief, collective well-being, and solidarity with the wider community/nation.",2025-12-02T10:38:41.905Z,0/25,partial,Pilot_2,
ANONYMOUS051,10,completed,323919135400665100,My prayers go out to the Boston Marathon victims today. #rip,6,5,6,5,4,5,5,6,6,I too really pray for it,We support this issues,We all concern in the issues,2025-12-20T15:36:36.555Z,50/50,completed,Main,PID011
ANONYMOUS038,25,completed,323926148272779260,RT @_Snape_: The first responders who rushed in to help are truly incredible people. #Heroes #PrayForBoston,1,1,1,1,1,4,1,1,5,There is no concern or direct correlation between the issue and the speaker.,"The tweet is admiring the first responders of the issue and calling them heroes, but there is no direct correlation between the user and those mentioned.","There is no concern mentioned in the tweet, just thanking the first responders emphasizing shared responsibility they had to the victims of the issue.",2025-12-06T09:19:20.196Z,25/25,completed,Pilot_2,
ANONYMOUS039,25,completed,323926148272779260,RT @_Snape_: The first responders who rushed in to help are truly incredible people. #Heroes #PrayForBoston,2,2,1,1,2,3,3,3,3,shows admiration for the responders but not necessarily the individuals thoughts,Shows care for first responders,Solidarity with the population as a whole and the heroes and first responders,2025-11-20T03:00:33.197Z,25/25,completed,Pilot_2,
ANONYMOUS007,17,completed,323930908803600400,Its Really sad how sick some people are in this world. #prayforboston,3,3,3,2,2,2,5,5,4,The phrase 'some people' seems like the author is in the stance of an observer or a third party regarding the issue.,The tweet doesnt include terms related tp close relationships.,"There is an underlying recognition of the soceity to which the author belongs, but the use of 'some people ~ this world' still seems like he/she is maintaining a social distance to this crisis.",2025-11-20T07:42:53.075Z,25/25,completed,Pilot_2,
