Worker ID,Batch ID,Batch Status,Tweet ID,Tweet Text,I-Involvement-1,I-Involvement-2,I-Involvement-3,You-Involvement-1,You-Involvement-2,You-Involvement-3,We-Involvement-1,We-Involvement-2,We-Involvement-3,I-Involvement Comment,You-Involvement Comment,We-Involvement Comment,Timestamp,Progress,Completion Status
ANONYMOUS024,2,completed,324739566407913500,“@nickels_sarah: My heart is beating so fast...#prayfortexas #texasexplosion  https://t.co/VqizbMlXrw” wow,4,6,3,2,2,3,3,4,2,The tweeter's heart is beating so fast.,The tweet doesn't really indicate any close relations.,"""Pray for Texas"" indicates the tweeter is likely a Texan and/or American.",2025-11-17T17:18:03.360Z,25/25,completed
ANONYMOUS024,2,completed,218161047683596300,RT @kylefrost: Wow.  This is just insane.  Keep you thoughts with the residents of Colorado Springs. http://t.co/bbw6kDfR,1,2,1,1,1,2,2,2,3,The tweeter kind of shows their opinion about the issue but nothing else.,It feels like the tweeter's response would be more personal or passionate if someone close to them was involved or in danger.,"The tweeter says ""keep your thoughts with the residents"", so they care about their fellow(?) Americans.",2025-11-17T17:20:56.820Z,25/25,completed
ANONYMOUS024,2,completed,407301533995642900,Sending love &amp; healing vibes to all affected by today's Metro-North train derailment in the Bronx... ❤️❤️❤️,1,1,1,1,2,3,2,2,2,The tweeter is not personally affected by the derailment.,"I would assume the tweeter cares about those in the Bronx, or those affected by the tragedy. Why do people bother tweeting stuff like this? Virtue signaling is really a sickness.",The tweeter cares about those who live in the Bronx.,2025-11-17T17:22:41.536Z,25/25,completed
ANONYMOUS024,2,completed,380566021079175200,Colorado Flooding - PLEASE Help these desperate Animals Now https://t.co/kRoeYFlhUb,1,3,2,4,6,4,2,2,3,The tweeter seems to really care about animals endangered by the Colorado floods.,"Assuming the tweeter cares deeply about animals (""PLEASE"" in caps), the issue does indeed have consequences for those they care about.",The tweet is a call for people to help the animals.,2025-11-17T17:24:39.433Z,25/25,completed
ANONYMOUS024,2,completed,323927138107535360,RT @AnneFoxyCoxy: Its a very sad state of affairs 😔 our thoughts are with you #prayforboston,1,2,1,1,1,3,2,1,1,The tweeter is presumably sad about the Boston Marathon Bombings.,"The tweeter says ""our thoughts are with you"", which is what one says when personally unaffected by a tragedy.",The tweeter shows concern for the people of Boston and others affected.,2025-11-17T17:26:20.716Z,25/25,completed
ANONYMOUS024,2,completed,324919418176016400,#prayfortexas too much pain this month:(,1,2,2,1,2,1,3,2,3,"The tweeter may have personally felt the ""pain"" owing to the frowny face at the end.","If the tweeter is one of the ones in pain, then it might be due to someone close to them having been affected.",The user laments Texas' pain in that month with a frowny face at the end.,2025-11-17T17:28:15.708Z,25/25,completed
ANONYMOUS024,2,completed,323933190492397600,Pray for Boston #bostonmarathon #thoughtsbewiththevictims http://t.co/JFbwLvCYKK,1,1,1,1,1,1,1,1,1,The tweeter shares no personal opinion.,The tweeter doesn't indicate they are close to anyone affected.,"After reading several of these, I doubt this person actually cares about the victims.",2025-11-17T17:29:30.959Z,25/25,completed
ANONYMOUS024,2,completed,324734063514624000,I hate hearing about all these tragedies on the news. When is something good going to happen? 😔 #PrayForWest #PrayersForBoston,5,4,5,1,1,1,5,4,2,"The tweeter states how they feel about the tragedies in West, Texas and Boston.",The tweet doesn't mention anything about those close to the tweeter.,The tweet expresses concern for the tragedies going on in America but nothing in the way of emphasizing shared responsibility or things such as.,2025-11-17T17:31:48.761Z,25/25,completed
ANONYMOUS024,2,completed,407187230847799300,My heart goes out to everyone who was on the derailed train in New York this morning.,2,2,3,1,1,3,2,4,1,The tweeter seems at least a little more genuine in their thoughts and prayers than some of the others I've read so far.,I doubt anyone close to the tweeter was on the derailed train.,The tweeter is wishing the victims of a tragedy in New York well.,2025-11-17T17:33:26.665Z,25/25,completed
ANONYMOUS024,2,completed,396494884586414100,"Dad called police, worried about LAX suspect - The Dominion Post http://t.co/a7PENQyv5M (Latest) #California",1,1,1,1,1,1,1,1,1,The text of the tweet is just a headline.,The speaker may as well be The Dominion Post's Twitter account.,This is just an informative tweet with a news headline.,2025-11-17T17:35:02.626Z,25/25,completed
ANONYMOUS024,2,completed,396389347521343500,Shooting at #LAX Airport :( &amp; somehow they always find my shampoo/bodywash but not the guns!!.. #SMH,1,1,4,1,1,1,1,1,1,"The tweeter talks about their personal experience with airports. They seem bummed about it, maybe. :(",The tweeter doesn't even comment on anyone else but themselves and the TSA.,The tweeter doesn't wish anyone well or anything. Maybe you could say they're advocating for the strengthening of customs?,2025-11-17T17:36:46.140Z,25/25,completed
ANONYMOUS024,2,completed,217960903906312200,God bless the citizens &amp; 1st responders in Colorado with the wild fires http://t.co/gDeYD9K2,1,1,1,1,1,4,5,5,5,The tweeter is likely not a Colorado resident or first responder.,The tweeter doesn't mention any personal connections.,"The tweeter cares about Colorado's people and any others affected in the fire, seeing as they're praying for them.",2025-11-17T17:38:40.106Z,25/25,completed
ANONYMOUS024,2,completed,323888118535163900,wow. wow. wow. Praying for everyone in Boston. absolutely horrific. Speluation that it was a terrorist =-O,1,1,2,1,1,1,4,5,5,The tweeter is more passionate in their writing (at least more than the others I've seen so far),The tweeter doesn't seem to be connected to anyone involved in the tragedy.,"""Speculation that it was a terrorist"" implies a concern about terrorism in the US.",2025-11-17T17:40:09.805Z,25/25,completed
ANONYMOUS024,2,completed,218021100548923400,Lets all find a way to help those in need in #Colorado,1,1,2,1,1,4,4,5,5,The tweeter presumably wants to help those in need in Colorado.,I don't think the tweeter knows anyone personally from Colorado based off this tweet alone.,"If the tweeter's being sincere, then they care about those in need in Colorado.",2025-11-17T17:41:20.704Z,25/25,completed
ANONYMOUS024,2,completed,326040492741627900,Glenn Beck Threatens to Expose U.S. Government Cover-Up of Boston Bombing (Video) http://t.co/5R09Ov4Q6x,1,1,1,1,1,1,4,4,4,The tweeter might just be a news organization.,"The tweet is just a headline. Unless the tweeter knows Glenn Beck, it doesn't reveal any relationships they have.","I suppose spreading the news about an issue is for the good of the collective, at least in theory.",2025-11-17T17:43:23.367Z,25/25,completed
ANONYMOUS024,2,completed,328928321356316700,"RT @JonasBrothers: Thoughts and prayers are with everyone In #WestTX, so sad",1,1,1,1,1,1,2,1,1,I don't think the Jonas Brothers are Texan.,"Maybe the Jonas Brothers know some Texans personally, but can't disclose private information on their Twitter.",Thoughts and prayers is just virtue signaling.,2025-11-17T17:44:31.686Z,25/25,completed
ANONYMOUS024,2,completed,324826128483233800,RT @robertgibsonmj2: The perils of citizen journalism revealed in shocking video of Waco explosion http://t.co/RBhXqkXY1N,1,1,2,1,1,1,2,1,1,Maybe the tweeter is themselves a citizen journalist?,"Maybe the tweeter knows a, or the citizen journalist?",I guess the tweeter is concerned about US citizens somewhat.,2025-11-17T17:45:30.870Z,25/25,completed
ANONYMOUS020,3,completed,325013437702864900,"@chestnuthell I can only imagine what it is like living there right now. Or in West, Texas",6,2,3,2,4,3,6,6,6,"It does not seem like they are deeply involved. For me it gives a similar nuance to ""Thoughts and Prayers"" tweets.",Not really much involvement I would say. They only mention Texas but not their relations to texas.,"Yes I would say so we only know its Texas, so the person tweeting it is concerenced about region or the community there.",2025-11-17T10:19:20.130Z,25/25,completed
ANONYMOUS020,3,completed,323927599493546000,RT @JaiBrooks1: #prayforboston so horrible:(,2,1,1,1,1,1,6,5,6,No it does not include the personal involvement of the tweeter.,We do not know if there is any consqeunces for someone close to the twetter.,"Yes it expresses we-involvement through ""Pray..."".",2025-11-17T10:21:14.521Z,25/25,completed
ANONYMOUS020,3,completed,407229920465547260,Prayers go out to those effected by the Metro-North train derailment in Bronx 🙏,1,1,1,2,2,5,7,4,6,No there is no I-Involvement,"It slightly addresses ""you"" directly.",It calls out to everyone affected.,2025-11-17T10:22:33.012Z,25/25,completed
ANONYMOUS020,3,completed,324750102533132300,"RT @andr3wgriggs: My prayers go out to Waco, Texas. #PrayForWaco",1,1,1,1,1,4,7,7,6,No personal involvement,no close relations to writer of tweet,Again thoughts and prayers,2025-11-17T10:23:41.522Z,25/25,completed
ANONYMOUS020,3,completed,324248195305717760,"RT @BarbaraNorro: Actions speak louder than words but if you act, act righteous. #prayforboston",2,2,2,2,2,2,6,6,7,no real personal involvement,no direct ties to issue,It kind of seems like moral lesson they want to give,2025-11-17T10:24:44.850Z,25/25,completed
ANONYMOUS020,3,completed,396345663845564400,People disregard the value of life and it has created a scary new paradigm of violence and hatred in the world #LAXShooting,1,1,1,1,1,1,7,7,7,no personal involvement,no direct ties visible,Seem like a morality statement with prayers,2025-11-17T10:25:35.989Z,25/25,completed
ANONYMOUS020,3,completed,217797275706064900,RT @jrmontag: I usually love the smell of a campfire. Not so much when it's burning my town. #FlagstaffFire,7,6,7,3,3,3,5,5,5,They mention my town so theres personal impact,not talking about others,It seems more like satircal quote,2025-11-17T10:27:09.318Z,25/25,completed
ANONYMOUS020,3,completed,323890173735747600,RT @dee_8689: Pray for all of the victims at the Boston marathon #PrayForBoston,1,1,1,1,1,1,6,6,6,no personal involvement,no direct connection,the community who was affected is menitoned,2025-11-17T10:27:50.122Z,25/25,completed
ANONYMOUS020,3,completed,396330455303475200,RT @jackmooring: Praying for the victims at LAX. God help us,4,4,4,2,2,4,6,6,6,It does not really but the god help us indirectly implies that it affects the person themselves,no direct ties or connections,it mentions group involved,2025-11-17T10:29:02.625Z,25/25,completed
ANONYMOUS020,3,completed,324891983225159700,#prayfortexas #prayforboston I honestly give up on this screwed up world.,3,5,5,2,2,2,6,6,6,it is not really personal involvement besides the giving up on the world,not really directly involved,Kind of concern for the whole world,2025-11-17T10:31:14.865Z,25/25,completed
ANONYMOUS020,3,completed,324754070336327700,RT @yafavewhitegirl: #prayforboston #prayfortexas #respect,1,1,1,1,1,1,4,4,4,no personal involvement,no direct connections,It does not say much besides hashtags thoughts and prayers,2025-11-17T10:32:08.337Z,25/25,completed
ANONYMOUS020,3,completed,325091690815844350,RT @southerrnnbelle: It breaks my heart for all the people in Boston #prayforboston,2,5,5,1,1,1,6,6,6,breaking heart indicating emotional involvement,no family or direct ties,concerns about community expressed,2025-11-17T10:33:04.887Z,25/25,completed
ANONYMOUS020,3,completed,378197732508184600,#BoulderFlood is what Puddle of Mudd should've been named,1,1,1,1,1,1,1,1,1,no personal involvement,no direct relations visible,it seems satirical not concerned,2025-11-17T10:34:01.167Z,25/25,completed
ANONYMOUS020,3,completed,396333793973264400,yet another nutjob with a gun killing randomly in America #NotSurpisedAnymore #LAX,1,1,1,1,1,1,3,5,3,not personally involved,no relatives or direct ties,it does not seem concerned more focused on bleakness of situation,2025-11-17T10:35:11.485Z,25/25,completed
ANONYMOUS020,3,completed,212617058616225800,RT @gannett: Terrific panorama shot of the #HighParkFire from @MattStephens with the @coloradoan.  http://t.co/fkp7jsfK,1,1,1,1,1,1,1,1,1,no personal involvement,no direct connections,it is about informing,2025-11-17T10:36:00.831Z,25/25,completed
ANONYMOUS020,3,completed,324758373662867460,what a horrible week for america. #prayforboston #prayforwest #WestTX,1,1,1,1,1,1,5,5,5,no personal involvment,no family or relatives,Yes it does worry about america,2025-11-17T10:37:33.064Z,25/25,completed
ANONYMOUS020,3,completed,396445861569630200,RT @Bruno_E_Ribeiro: 😔 so sad that those people lost their lives in that Los Angeles Airport shooting,3,3,3,1,1,1,6,6,6,no real personal connection,no family ties or connections,sad about the people involved,2025-11-17T10:38:19.440Z,25/25,completed
ANONYMOUS020,3,completed,324855362756964350,RT @CatholicTV: Our prayers are with the people of #Waco Texas this morning.,1,1,1,1,1,1,6,6,6,no personal involvement,no direct connections,worried and concerned about community,2025-11-17T10:38:59.514Z,25/25,completed
ANONYMOUS020,3,completed,324841689351077900,Wow.. The fertilizer plant explosion in texas is a sad thing too... So much happening :(,1,1,1,1,1,1,6,6,6,no personal involvement,no family connections,concerned and sad about community,2025-11-17T10:39:40.919Z,25/25,completed
ANONYMOUS020,3,completed,381131081908371460,Evacuee Sadie and her new best friend Cook enjoying the sunny #estespark day! #COPets #COFloodRelief http://t.co/5sQ5jySX0T,6,6,6,5,5,5,5,5,5,not sure but the tweet seems to be about themselves,if a rescue dog can be considered direct relation,slightly concerned of community,2025-11-17T10:40:46.265Z,25/25,completed
ANONYMOUS020,3,completed,396358720684584960,RT @CodySimpson: stuck in the airport terminal because of the shootings. praying for the victims,7,7,7,1,1,1,6,6,6,the person themselves is stuck,no family connections,praying for the victim,2025-11-17T10:41:29.370Z,25/25,completed
ANONYMOUS020,3,completed,324740677923635200,Prayers for everyone in that community in West Texas. That's just unreal.,1,1,1,1,1,1,7,7,7,not personally involved,no family connections,concerned about community,2025-11-17T10:42:06.948Z,25/25,completed
ANONYMOUS020,3,completed,324022776639930400,Super tired and going to bed!! Night everyone!! #BostonMarathon #heartbroken #PrayForBoston,5,5,5,1,1,1,4,4,4,it talks about being tired so maybe personally involved,no family connections,the tweet itself does not show direct concern,2025-11-17T10:45:10.661Z,25/25,completed
ANONYMOUS020,3,completed,324740774401036300,RT @WhiteBoyPosts: Omfg watch this whole video through.. #PrayForTexas 😱😱😱http://t.co/YQskpsrjra,1,1,1,1,1,1,4,4,4,no personal involvement,no family connections,Kind of but it seems more to want people to click on video,2025-11-17T10:46:00.483Z,25/25,completed
ANONYMOUS020,3,completed,396323748581617660,The was a shooting in the LAX airport,1,1,1,1,1,1,1,1,1,no personal involvement,no personal ties to event,just informing about what happend,2025-11-17T10:46:40.521Z,25/25,completed
ANONYMOUS033,4,completed,323939796550557700,“@RichMcD1234: My heart and prays go out to those affected by the explosion in Boston! I hope everyone is ok!”,5,4,3,4,3,6,5,4,4,I hope all guys were survived after that Boston's issue,I hope all guys were survived after that Boston's problem,I hope all guys were survived after that Boston's... tragedy,2025-11-17T10:27:35.139Z,25/25,completed
ANONYMOUS033,4,completed,324865169035513860,#PrayForTexas! My thoughts and prayers go out to the people and families in Texas.,5,3,5,5,5,5,5,5,4,"I hope... really, pray for Texas, guys!",PRAY FOR TEXAS! who won't pray... shame on you...,We should seek and destroy all problems and issues in safety system!,2025-11-17T10:31:04.857Z,25/25,completed
ANONYMOUS033,4,completed,323892820320583700,RT @DinoSamona: Crazy what happened during the Boston Marathon. Prayers to all those involved 🙏.,5,4,5,5,3,5,5,6,4,"dizzy situation, pray for boston's victims",pray for boston's victims!,"we should... no, must to guard all of us",2025-11-17T10:35:25.179Z,25/25,completed
ANONYMOUS033,4,completed,325108518388633600,"Ong the sooter is still indoors in MIT in Boston wow so bombing fire ,explosion in Texas and know this wow bad weej",3,3,3,3,3,3,3,3,3,"i didn't understand the comment... dizzy, he or she hasn't some soft skills",pls improve your soft skills bro,mdaaa.... bad tweet btw,2025-11-17T10:42:23.355Z,25/25,completed
ANONYMOUS033,4,completed,325982175113658400,David Remnick: The Brothers Tsarnaev http://t.co/DLIrJF4VFc via @NewYorker,2,2,2,2,2,2,2,2,2,just dry info.... pls don't write commas pls,"mda, just a text and link...",meow? meow! explain me bro wth...,2025-11-17T10:43:48.970Z,25/25,completed
ANONYMOUS033,4,completed,218029963088117760,Praying for my cousins and everyone else in Colorado Springs that are having to evacuate because of these wildfires. &lt;3,3,3,3,5,5,5,5,4,4,supportive message... good staff!,fair play! good text!,thank you for your participation,2025-11-17T10:45:02.854Z,25/25,completed
ANONYMOUS033,4,completed,324752547799781400,RT @ArchbishopYoung: “@Tara1029Now: Praying for our fellow Texans in West. #PrayForWest”,3,3,3,5,5,5,5,5,4,not egoist test was passed!,Praying for our fellow Texans in West,thank u thank u thank u really!,2025-11-17T10:50:51.894Z,25/25,completed
ANONYMOUS033,4,completed,323962265403547650,RT @Kaylaboos13: What happened in Boston is devastating. #PrayForBoston,3,3,3,5,5,5,5,5,5,"not about ""me"", all about us!",good job really!!!!!,stop bombing boston!,2025-11-17T10:54:23.196Z,25/25,completed
ANONYMOUS033,4,completed,323893747274367000,RT @ashleycolley: The fake Boston Marathon account has been suspended. THANK YOU TWITTER!,3,3,3,3,3,3,1,1,1,"bro.... guy just kidding us, bad comment",be honest... cancel the comma,shame on that guys!!,2025-11-17T10:56:53.485Z,25/25,completed
ANONYMOUS033,4,completed,324500323324530700,"No more stories of Boston for Jwil, too many nightmares #prayforboston",3,2,4,3,4,4,3,3,3,"fr stop comment scary comments, silly...",shame on guys who can't support normally...,"bro, is it really support or just putting the hashtag for hashtag? #stopslacktivism",2025-11-17T10:59:11.288Z,25/25,completed
ANONYMOUS033,4,completed,323913829601914900,RT @we_believejb: Help this girl find her family. Please RT and spread the word. #prayforboston http://t.co/ljlyC3pkFF,3,3,3,5,5,5,5,5,5,good support as well,"really good message, let her find her family",let find her family and return at home,2025-11-17T11:03:13.188Z,25/25,completed
ANONYMOUS046,6,completed,324823079228436500,holy #prayfortexas https://t.co/vOuBIKPOza,3,5,5,5,2,2,6,6,2,"Just filming some disastrous moment, I feel kind of neutral, but somehow this user kind of seeking for views?",pkojiijjjijiijijijiji,kninonononokkkkjkjkjk,2025-11-18T01:49:04.662Z,24/25,completed
ANONYMOUS012,10,completed,324856264544878600,"RT @nickolasss24: this world is coming to an end. another explosion in Texas, &amp; half the country is flooded great.",4,3,3,3,3,3,5,5,3,The tweet seems to express grievance for the general society rather than expressing how the himself is affected.,The tweet seems to express grievance for the general society rather than expressing how those around him are affected.,"The tweet seems to express grievance for the general society, but adopts a very negative attitude, implying the issue can not be resolved.",2025-11-18T01:51:31.867Z,25/25,completed
ANONYMOUS012,10,completed,397329072922964000,"Good morning. We are talking #Obamacare, #LAXShooting and #Bears. Taking your calls at (312) 591-8900. @wlsam890",2,2,2,5,5,5,4,4,4,The tweet has no mention of personal feelings or consequences in relation to the shooting.,"The tweet asks for readers' involvement in the conversation about the crisis (their emotions, experiences).","The tweet states that they will talk about the crisis (potentially collective consequences), but doesn't directly discuss it in the tweet itself.",2025-11-18T01:56:20.945Z,25/25,completed
ANONYMOUS012,10,completed,328258189021810700,A letter of hope on the marathon bombing - http://t.co/ARuYRfUAk6,4,4,4,4,5,5,5,5,5,"Perhaps the article expresses personal consequences, but the tweet itself does not.",The tweet seems to seek to comfort its readers.,"The tweet seems to offer emotional support and inspiration to its readers, who are assumed to be Americans as a whole.",2025-11-18T02:03:35.582Z,25/25,completed
ANONYMOUS012,10,completed,323974798009049100,RT @TraxFMJKT: is sending all the prayers to all the victims of bomb tragedy at Boston Marathon #RIP :(,3,3,3,4,4,4,5,3,3,The tweet does not express any personal involvement.,The tweet does not seem to emphasize personal relationships in relation to the issue.,"The tweet offers condolences to the victims themselves, but not necessarily to a community as whole.",2025-11-18T02:05:54.974Z,25/25,completed
ANONYMOUS012,10,completed,323990266585440260,RT @ItsSiRobertson: Today is been a tough day...  Stay tough 'Merica! #PrayForBoston,5,5,5,5,4,5,5,5,5,"The tweet implies the crisis has made the poster's day ""tough"".","The tweet offers words of encouragement; ""stay tough"".",The tweet offers words of encouragement towards the community affected (not necessarily people he has relations with).,2025-11-18T02:07:59.549Z,25/25,completed
ANONYMOUS012,10,completed,323928505450643460,Listening to @justinbieber's song pray help thru the pain of how I feel about the bomb in Boston&lt;3 #PrayForBoston&lt;3,6,6,6,3,3,3,3,3,3,"The tweet emphasizes the ""pain"" the poster experiences.",The tweet focuses on personal-involvement.,The tweet offers no words of solidarity with the community affected.,2025-11-18T02:09:34.781Z,25/25,completed
ANONYMOUS012,10,completed,323932498436427800,So many people ecstatic as they finished the Marathon only moments before the horrible tragedy #bsu262 http://t.co/noIQj15ltn,3,3,3,3,3,3,5,4,5,The tweet does not emphasize personal involvement.,The tweet does not mention any personal relations who are affected by the crisis.,"The tweet expresses concern for the victims, but does not really emphasize a community in which the poster is involved.",2025-11-18T02:12:42.849Z,25/25,completed
ANONYMOUS012,10,completed,325084615041761300,"Boston bombing, texas explosion, this time MIT shooting?",4,4,5,4,3,3,5,3,3,"While the tweet does not explicitly express personal impact, it implies the poster feels fatigue with the recent crises.",The tweet does not seem to express consequences for others.,The tweet emphasizes concern for the growing number of crises but does not directly express solidarity.,2025-11-18T02:16:49.155Z,25/25,completed
ANONYMOUS012,10,completed,324079735279869950,"RT @llama_ajol: The world is a dark place, lets be the light #prayforboston",3,3,3,5,5,5,5,5,5,The tweet does not involve himself.,"The tweet calls on readers to support the victims; ""lets"".","The tweet calls on society as a whole (including himself) to stand in solidarity; ""lets"".",2025-11-18T02:19:03.731Z,25/25,completed
ANONYMOUS012,10,completed,323885429977911300,Please don't let this be terrorists... #BostonMarathon #PrayforBoston,4,5,4,4,4,4,5,5,5,"While the tweet does not directly emphasize personal involvement, the wording (""please"") implies a personal emotional impact.","The tweet expresses concern but it is not specifically towards family, friends or close others.","The tweet expresses concern for the community affected through its hashtags; ""#PrayForBoston"".",2025-11-18T02:26:44.668Z,25/25,completed
ANONYMOUS012,10,completed,407164397044641800,"That's one of my worst fears, train derailment #nyc #MetroNorth 😔",6,6,6,3,3,3,2,2,2,The tweet expresses personal emotions.,The tweet does not express consequences for others.,The tweet does not discuss collective consequences or responsibility.,2025-11-18T02:27:52.295Z,25/25,completed
ANONYMOUS012,10,completed,218315012186456060,"thinking of all the folks in Colorado.... us BC'ers know all bout fires, my sympathies, hell of a fire.",3,3,3,3,4,3,5,6,5,The tweet does not express personal involvement besides personal condolences towards the victims.,The tweet does not express direct relational ties who are affected.,"The tweet mentions collective experience (""us BC'ers know..."") and offers condolences to the victims.",2025-11-18T02:33:06.463Z,25/25,completed
ANONYMOUS012,10,completed,379740020048793600,RT @KyleClark: What unanswered #COflood questions do you have? I'll try my best to get you answers.,4,4,5,5,4,5,4,4,5,"The tweet does not express personal consequences but implies personal involvement by stating he has ""the answers"" about the floods.",The tweet expresses interest in readers' curiosity about the floods.,The tweet does not seem to express concern for the community affected.,2025-11-18T02:35:24.730Z,25/25,completed
ANONYMOUS012,10,completed,324058965115822100,Què triste y horrible lo ocurrido en Boston! Estoy con Todos de esos areas. #PrayForBoston,3,3,3,4,5,4,5,4,5,The tweet has no mention of involvement.,"The tweet expresses condolences towards the victims, but not necessarily personal relations.",The tweet expresses solidarity.,2025-11-18T02:39:42.215Z,25/25,completed
ANONYMOUS012,10,completed,407159661696020500,@bjam08 train derailment in NYC,1,1,1,1,1,1,1,1,1,The tweet simply states there has been an incident and mentions no personal involvement or impact.,The tweet does not express concern about the consequences for others.,The tweet does not express concern about the issue's impact on the community or offer solidarity.,2025-11-18T02:42:36.686Z,25/25,completed
